0,"怎么会找来朱桢和丹丹担任司仪呢?完全和"" 美容"" 划不上等号呀,怪怪的,搞的像"" 老娘舅"" 节目一样!牛尔,小P 各大颁奖典礼现场必到人物,貌似没有了他们就是一个不入流的典礼,但是有了他们也不过是个走过场而已!还是自己端着奖杯来张照片吧~ ~ ~"
3,超级小伪娘！！！伪娘要从娃娃抓起。。。
0,从小缺钙，长大缺爱，姥姥不疼，舅舅不爱。左脸欠抽，右脸欠踹。驴见驴踢，猪见猪踩。天生就是属黄瓜的，欠拍！后天属核桃的，欠捶！终生属破摩托的，欠踹！
0,小米晒奖品的速度很快呢，要继续支持IPS 硬屏呦！@IPS 硬屏，你们寄来的背包收到了，很不错哦，背包很大，很结实，谢谢咯！
0,有的时候，走着走着，就会忘记为什么要走。有的时候，想着想着，就忘记为什么要想。有的时候，看着看着，就会忘记为什么要看。所以有的时候，就会感觉一种迷失，当初的执拗原来没有那么固执……So what ?
2,他感冒啦？心疼哦，怎么又感冒了麻需要人陪Live ，因为感冒又骚虾了，不过依然那么好听
1,最难追。。。又是处女座。。。『每日星座时间』第一名：处女座。第二名：天蝎座。第三名：摩羯 座。第四名：双子座。第五名：水瓶座。第六名：狮子座。第七名：金牛座第八名：射手座。第九名：天秤座。第十名：巨蟹座。第十一名：白羊座。第十二名：双鱼座。哇~ 我又垫底啦[Fay ]
1,激死我啦……一早翻屋企开电脑。竟然上唔到网重启n 次都唔得=.=希望听日得翻喇，我听日放假啊～
1,米貌的儿咋~ : : 帮帮唱的儿砸啊~ 被各种活动比赛溜了N 天之后终于又偷得浮生“三”日闲。。混沌的一天里早中晚睡了三回，期间穿插修图若干。。现在到了最该睡觉的时候反而又倍儿精神了放儿子美图一张勾引瞌睡虫快来
0,"太可爱的猴子！看着猴猴拼命的表情和身体还有狗狗无助的神态,真的好难过并为人类的冷漠感到自责,5555,大鸟....大鸟.....5555: 泪奔，难过，震撼: 看看看如果人與 人之間 能有它一丁點 的話 大愛 ！南京爆炸现场可爱的猴子抱着狗狗逃命好可爱比人还有人性"
3,祝演唱会顺利。都表紧张我我们的口号是没期待无恐惧不失望~
0,史上最聪明的宣传人员。“中华情-亲情中华，欢聚多伦多”官方宣传片15秒版本正式选用周笔畅最新单曲《I MISS U MISSING ME 》作为背景音乐.敬请期待。
0,"恩,跟着你走,主席的代言人!.....世界是我们的，也是你们的，但归根结底还是你们的，你们青年人朝气蓬勃，就像清晨八、九点钟的太阳，希望寄托在你们身上"
2,相信三尺之上有神明
0,把我乐的老霸道了
1,喜欢他的女人姜叔滴耳朵很有型一点点罗拔迪尼路的味道妈呀，好口水嗯。牛B 。这是给芭沙拍的！提前曝光了！！要被恐吓了！！！相当的给力！哇！...这不是我的最爱吗！！！！极品男人让子弹飞！快看！
3,何梅梅啊，我好想你啊，一个星期不见了，你想我吗、
0,我曾经在饭店吃过多次，不过味道还是很不错的。。不会吧！！要吐！靠，什么世道！！！操！吃鸽子的小心咯~ ~ ~ 老鼠肉，如何变成饭店酒席上的椒盐鸽子肉（转给那些不知道的人注意一下）
1,得罪湖南村书记，被铁链活活锁住骨头----日前，湖南省张家界市永定区官黎坪办事处赶子坪村（位于张家界市区城郊）一户好心人家，收留了一对从湖南省怀化市沅陵县借母溪乡流浪逃命而来的母子，儿子27岁，因为和老家堂姐发生口角纠纷，被其村支书、村主任、村妇女主任联合进行非法拘禁多年。
3,"我快疯了，天天骗自己，面对真实的情况还是接受不了。其实我是坚强的.其实我一直也知道新闻报出来的会是报喜不报忧的.但一直希望你的小能量能迅速的战胜小宇宙.今天才知道,原来俞妈妈是在你入院的34天才被允许进重症房探班.无法想象你所需承受的痛苦,宝贝,但是你一定会好起来的,永远不变的是等你,爱你..灏明宝贝,要持续的坚强加油..."
3,回复成灰泪始干。。。抢沙发我当然是站在共产主义的对立面上的，我很喜欢中国的文化，但是不喜欢中国的共产主义。我想随着中国经济的增长、社会成熟度越来越高，可能有更多的人会对共产主义有不同的看法。（石原慎太郎接受南方人物周刊时采访的表述）
0,強 最后那句是经典gd ~ 不過 正版有三句是也近一點 看
0,我没有哭【哭得最厉害的星座】双鱼座；白羊座；金牛座；狮子座；【只是默默流眼泪的星座】天秤座；射手座；双子座；水瓶座；【不掉一滴眼泪最铁石心肠的星座】巨蟹座；摩羯 座；天蝎座；处女座。
2,关于西安就不能有点儿好消息吗！败家的货怎么都集中在西安了啊继《时代周报》报道“曲江120亿修城墙”之后()，7月9日对此事再次追踪()：直指修城墙的目的是炒地皮，主导官员西安副市长段先念原为房产商，拥紫薇地产等四家企业。
0,时刻不忘党。好孩子。这位仁兄好是藏得深啊，哈哈哈····
3,一口气吃了10几颗药丸子！
0,刚刚看完《盗梦空间》，掂！好耐冇 睇过啲 咁 刺激的电影了。剧情、内容、音乐、特效都很不错。都唔系宣传得咁 难明姐，不过就真系要睇得好认真先明，而且每个人都会有唔同的理解，记得睇完无谓争期待紧《精武风云》
0,回复哈哈，达成共识，真希望驴子和马谡能看见理解接受，钦此。管理一个企业、一个机构乃至一个国家，就需懂得规则制度比天大。管理者越把人情掺杂进来，自己就越被动。卸磨杀驴过河拆桥还有一层意思，就是驴子居功自傲，过了河就怙 恩恃宠，整日功臣自居，不守规则，这是逼着人挥泪斩马谡，江山易攻难守，贤明的人，是不会不懂得这个道理的。【含沙射影、胡说八道】
0,向银河投影。。。。这招记下了，下次也自拍一张。哈哈。“你好”
1,自家的闺女，这手下得也太狠了，必须严惩也是不是法律的问题，虎毒尚且不食子，虎有法律吗？是人性的问题封建思想残害人，也是目前中国法律意识淡薄的表现。6月18日上午9时许，张建云、毋小平怀疑女儿甜甜偷拿家里的钱，但甜甜始终否认，夫妻俩分别用电线绳、擀面杖、皮带等物，对甜甜进行殴打，擀面杖和衣服上都沾满了血。屋里传出惨叫声，邻居过来哭着劝说，他俩关上房门继续打孩子……前房东因为他们打孩子赶他们出来，搬了家照打不误，最终导致甜甜死亡。
